date,time,symbol,group,rank,score,price,is_live_adjusted
2026-05-28,21:04:30,YEG,THEO DÕI,0,0.0,9210.0,True
2026-05-28,21:04:30,ACV,THEO DÕI,0,0.0,43900.0,True
2026-05-28,21:04:30,PTB,THEO DÕI,0,0.0,39500.0,True
2026-05-28,21:04:30,C4G,THEO DÕI,0,0.0,6800.0,True
2026-05-28,21:04:30,VGC,THEO DÕI,0,0.0,42750.0,True
2026-05-28,21:04:30,MSH,THEO DÕI,0,0.0,34400.0,True
2026-05-28,21:04:30,PLC,THEO DÕI,0,0.0,21600.0,True
2026-05-28,21:04:30,CTG,THEO DÕI,0,0.0,34850.0,True
2026-05-28,21:04:30,TVS,THEO DÕI,0,0.0,13000.0,True
2026-05-28,21:04:30,DPM,THEO DÕI,0,0.0,25850.0,True
2026-05-28,21:04:30,NKG,THEO DÕI,0,0.0,13700.0,True
2026-05-28,21:04:30,VCS,THEO DÕI,0,0.0,38500.0,True
2026-05-28,21:04:30,HBC,THEO DÕI,0,0.0,5000.0,True
2026-05-28,21:04:30,HPG,THEO DÕI,0,0.0,24000.0,True
2026-05-28,21:04:30,ORS,THEO DÕI,0,0.0,13100.0,True
2026-05-28,21:04:30,EIB,THEO DÕI,0,0.0,21350.0,True
2026-05-28,21:04:30,CSV,THEO DÕI,0,0.0,25400.0,True
2026-05-28,21:04:30,MSN,THEO DÕI,0,0.0,75500.0,True
2026-05-28,21:04:30,VCK,THEO DÕI,0,0.0,33000.0,True
2026-05-28,21:04:30,TLG,THEO DÕI,0,0.0,49050.0,True
2026-05-28,21:04:30,PVC,THEO DÕI,0,0.0,14700.0,True
2026-05-28,21:04:30,LAS,THEO DÕI,0,0.0,15300.0,True
2026-05-28,21:04:30,HUT,THEO DÕI,0,0.0,15500.0,True
2026-05-28,21:04:30,MML,THEO DÕI,0,0.0,30800.0,True
2026-05-28,21:04:30,DRI,THEO DÕI,0,0.0,14000.0,True
2026-05-28,21:04:30,HDB,THEO DÕI,0,0.0,25850.0,True
2026-05-28,21:04:30,VJC,THEO DÕI,0,0.0,170400.0,True
2026-05-28,21:04:30,STB,THEO DÕI,0,0.0,68000.0,True
2026-05-28,21:04:30,MBB,THEO DÕI,0,0.0,25000.0,True
2026-05-28,21:04:30,GVR,THEO DÕI,0,0.0,34350.0,True
2026-05-28,21:04:30,DBC,THEO DÕI,0,0.0,21650.0,True
2026-05-28,21:04:30,LHG,THEO DÕI,0,0.0,27050.0,True
2026-05-28,21:04:30,FMC,THEO DÕI,0,0.0,34600.0,True
2026-05-28,21:04:30,VHC,THEO DÕI,0,0.0,58800.0,True
2026-05-28,21:04:30,PVT,THEO DÕI,0,0.0,21900.0,True
2026-05-28,21:04:30,IJC,THEO DÕI,0,0.0,9680.0,True
2026-05-28,21:04:30,GMD,THEO DÕI,0,0.0,72500.0,True
2026-05-28,21:04:30,KSB,THEO DÕI,0,0.0,15150.0,True
2026-05-28,21:04:30,VIC,THEO DÕI,0,0.0,210800.0,True
2026-05-28,21:04:30,IMP,THEO DÕI,0,0.0,46100.0,True
2026-05-28,21:04:30,PVB,THEO DÕI,0,0.0,26400.0,True
2026-05-28,21:04:30,TNH,THEO DÕI,0,0.0,9600.0,True
2026-05-28,21:04:30,HAH,THEO DÕI,0,0.0,54000.0,True
2026-05-28,21:04:30,BMP,THEO DÕI,0,0.0,138300.0,True
2026-05-28,21:04:30,HDC,THEO DÕI,0,0.0,17900.0,True
2026-05-28,21:04:30,ELC,THEO DÕI,0,0.0,15950.0,True
2026-05-28,21:04:30,HHV,THEO DÕI,0,0.0,11800.0,True
2026-05-28,21:04:30,DTD,THEO DÕI,0,0.0,14500.0,True
2026-05-28,21:04:30,DCM,THEO DÕI,0,0.0,40200.0,True
2026-05-28,21:04:30,CTI,THEO DÕI,0,0.0,20450.0,True
2026-05-28,21:04:30,HAG,THEO DÕI,0,0.0,15500.0,True
2026-05-28,21:04:30,DPG,THEO DÕI,0,0.0,40500.0,True
2026-05-28,21:04:30,CEO,THEO DÕI,0,0.0,16300.0,True
2026-05-28,21:04:30,ANV,THEO DÕI,0,0.0,22050.0,True
2026-05-28,21:04:30,PVD,THEO DÕI,0,0.0,30000.0,True
2026-05-28,21:04:30,VSC,THEO DÕI,0,0.0,20200.0,True
