split,h,feat,n,mean,base,incr,wr,symbols
holdout,3,diverge_sell_up,23206,-0.00024250618473134754,-0.0005841154741477706,0.00034160928941642305,0.47397224855640785,117
holdout,3,diverge_buy_down,19194,-0.000874035179795951,-0.0005841154741477706,-0.00028991970564818043,0.5007293946024799,117
holdout,3,abn_buy_z15_px_up,5667,-0.0008209025757996709,-0.0005841154741477706,-0.00023678710165190035,0.47203105699664727,117
holdout,5,agree_pos,32390,0.0006263603426368386,-0.0009681708148024937,0.0015945311574393321,0.4912318616857055,117
holdout,5,px_pos,57923,0.0004333406535193788,-0.0009681708148024937,0.0014015114683218724,0.4885451375101428,117
holdout,5,agree_neg,37658,-0.003181476789819361,-0.0009681708148024937,-0.002213305975016867,0.4746401826969037,117
holdout,5,px_neg,59317,-0.0023911524408004297,-0.0009681708148024937,-0.001422981625997936,0.48129541278217036,117
holdout,5,abn_abs_z20,8540,-0.0001517769814837188,-0.0009681708148024937,0.0008163938333187749,0.48735362997658077,117
holdout,5,net_pos,55476,-0.00013736269480996247,-0.0009681708148024937,0.0008308081199925313,0.49042829331602855,117
holdout,5,net_neg,66014,-0.0019405082163212167,-0.0009681708148024937,-0.000972337401518723,0.47755021662071684,117
holdout,5,diverge_sell_up,23170,-0.00013533250803155383,-0.0009681708148024937,0.0008328383067709398,0.4817867932671558,117
holdout,5,diverge_buy_down,19165,-0.0012272821164792263,-0.0009681708148024937,-0.00025911130167673266,0.49193842942864596,117
holdout,5,abn_buy_z15_px_up,5661,-0.0007479406410935475,-0.0009681708148024937,0.00022023017370894618,0.47164811870694223,117
holdout,10,agree_pos,32295,0.0001242949979341681,-0.001675497091818183,0.001799792089752351,0.49026165041028025,117
holdout,10,px_pos,57722,-0.00015010005055159803,-0.001675497091818183,0.001525397041266585,0.48785558365960985,117
holdout,10,agree_neg,37433,-0.00482540046320048,-0.001675497091818183,-0.003149903371382297,0.4692116581625838,117
holdout,10,px_neg,58984,-0.003538680880713863,-0.001675497091818183,-0.0018631837888956801,0.4787908585379086,117
holdout,10,abn_abs_z20,8508,0.0010883871803705684,-0.001675497091818183,0.0027638842721887514,0.49047954866008464,117
holdout,10,net_pos,55262,-0.00045658190550015723,-0.001675497091818183,0.0012189151863180258,0.4903912272447613,117
holdout,10,net_neg,65653,-0.003046495129625641,-0.001675497091818183,-0.0013709980378074581,0.47511918724201485,117
holdout,10,diverge_sell_up,23065,-0.0008868596323363506,-0.001675497091818183,0.0007886374594818324,0.4816822024712768,117
holdout,10,diverge_buy_down,19065,-0.0015365343877800578,-0.001675497091818183,0.00013896270403812518,0.4920535011801731,117
holdout,10,abn_buy_z15_px_up,5643,0.00020445207543570625,-0.001675497091818183,0.0018799491672538892,0.48165869218500795,117
